names,scores,logfoldchanges,pvals,pvals_adj,pvals_adj_BH
SYT1,4.507752,2.0129745,6.551815856892346e-06,0.14959105964456607,0.14959105964456607
NEBL,4.1823387,2.1442974,2.8852593989866524e-05,0.32938121298831624,0.32938121298831624
YWHAH,2.4612339,2.0032303,0.013846009359259722,1.0,1.0
SERPINI1,2.3841088,2.9875906,0.01712053734687297,1.0,1.0
ATP13A3,2.24136,2.5102465,0.02500276544677674,1.0,1.0
RPL30,2.19062,2.278023,0.028479311058440697,1.0,1.0
ATP5MG,1.8286737,3.2233047,0.06744849980842384,1.0,1.0
HIF3A,1.7833459,3.5192401,0.07453001453753018,1.0,1.0
MT3,1.7522253,4.114612,0.07973507614277262,1.0,1.0
NEFL,1.7495191,2.668623,0.08020132095636119,1.0,1.0
NDUFB7,1.5830916,4.6761246,0.11340059308448613,1.0,1.0
SMARCA4,1.5506179,2.479065,0.12099327894469662,1.0,1.0
MED28,1.5005543,3.32906,0.1334708727655561,1.0,1.0
PTTG1IP,1.4775522,2.1325538,0.13952769297247783,1.0,1.0
COX7A2,1.4599622,2.0880702,0.14430045400029343,1.0,1.0
PCSK1N,1.3841903,2.0021853,0.16630018417331405,1.0,1.0
ATP5MJ,1.3375094,2.4003148,0.1810564087175056,1.0,1.0
CCDC57,1.3138307,2.1242895,0.1889031831378679,1.0,1.0
ABHD15-AS1,1.2996235,2.0155184,0.193730051557237,1.0,1.0
COPE,1.2840632,2.358536,0.19911985399392518,1.0,1.0
SNRPN,1.2637671,2.033665,0.20631362505213502,1.0,1.0
COL21A1,1.2292639,2.330494,0.21897289845884527,1.0,1.0
UQCR10,1.2272342,3.4972432,0.21973456370364564,1.0,1.0
FSIP2-AS1,1.2238516,2.2475288,0.22100822771660045,1.0,1.0
OSTC,1.2204689,3.3220277,0.22228717548455934,1.0,1.0
DHX57,1.2177627,2.3565044,0.22331414286048645,1.0,1.0
RIOK3,1.1893483,2.5806136,0.23430264108341292,1.0,1.0
SRP9,1.1690522,2.4589484,0.24238258393457268,1.0,1.0
MT1X,1.1501093,27.39703,0.25009887061392366,1.0,1.0
TSPAN14,1.1277837,2.5000482,0.259411314741963,1.0,1.0
ATP6V1F,1.1189886,4.0334225,0.2631449760698029,1.0,1.0
RGS4,1.1128999,2.1930153,0.2657514452835775,1.0,1.0
BEX1,1.0824558,2.6062882,0.2790500544733022,1.0,1.0
BCAT2,1.0702782,2.4911194,0.2844941256716025,1.0,1.0
RPL27,1.067572,2.3295245,0.2857136139620947,1.0,1.0
FAM200B,1.0391575,2.097057,0.2987314701934104,1.0,1.0
CNP,0.9978889,2.0239966,0.31833322458232216,1.0,1.0
CRAMP1,0.98909396,2.1505005,0.3226171683984963,1.0,1.0
ABI3BP,0.9877409,2.2377903,0.32327955892025406,1.0,1.0
KAZN-AS1,0.9775929,27.02454,0.3282757223094185,1.0,1.0
PSMA4,0.9444427,3.6630726,0.3449434864949623,1.0,1.0
LINC00265,0.9417365,3.3071089,0.3463275485316166,1.0,1.0
LAMTOR4,0.94038343,3.3471615,0.3470209040236123,1.0,1.0
DRAP1,0.9390304,3.3049953,0.34771514230555667,1.0,1.0
RAB4A,0.93632424,2.235266,0.3491062666412833,1.0,1.0
BEX2,0.93632424,2.9728093,0.3491062666412833,1.0,1.0
PRTG,0.93226504,2.9357347,0.351199570242015,1.0,1.0
RPL36AL,0.9200874,26.88829,0.3575270817106373,1.0,1.0
SORBS2,0.9200874,26.988443,0.3575270817106373,1.0,1.0
STMN4,0.8923495,2.108025,0.3722056390649541,1.0,1.0
ATP5MC2,0.8896434,2.0354002,0.37365742480212916,1.0,1.0
SPCS1,0.8896434,2.1664085,0.37365742480212916,1.0,1.0
STAMBP,0.8896434,2.105417,0.37365742480212916,1.0,1.0
FABP5,0.8882903,2.0453064,0.37438463007783873,1.0,1.0
SNX16,0.8862607,3.8544214,0.37547707771619065,1.0,1.0
FAM169A,0.88220143,3.1638982,0.3776678724698582,1.0,1.0
DAPK1,0.8808484,3.1221242,0.3783998843131967,1.0,1.0
PDIA5,0.87137693,2.4074717,0.3835483931367002,1.0,1.0
ELOB,0.87137693,2.0215414,0.3835483931367002,1.0,1.0
NOP56,0.86867076,2.6213768,0.3850272374301883,1.0,1.0
RCBTB1,0.86596465,2.317317,0.3865095621954733,1.0,1.0
CA11,0.86258197,27.12926,0.3883673584627567,1.0,1.0
ATG3,0.8443155,2.155843,0.39849312250610647,1.0,1.0
NACC2,0.84296244,2.357827,0.39924945147595303,1.0,1.0
CSRNP3,0.83890325,2.079581,0.4015236156766081,1.0,1.0
TPM3,0.83755016,2.1617482,0.4022833948191775,1.0,1.0
MRFAP1,0.8321379,2.0180185,0.40533112237965796,1.0,1.0
PARP1,0.8267256,3.3005493,0.408392607103253,1.0,1.0
PDCD5,0.8240195,3.221813,0.40992849969257894,1.0,1.0
PPARGC1A,0.8213133,2.8827593,0.41146782100592627,1.0,1.0
NDUFS7,0.80778265,2.1655514,0.41921572886511327,1.0,1.0
MACROH2A2,0.8050765,26.517157,0.42077554396422523,1.0,1.0
ZNF121,0.78275084,2.2960563,0.43377344363711845,1.0,1.0
NUP50,0.78275084,2.0587907,0.43377344363711845,1.0,1.0
S100A4,0.7698967,3.3929675,0.44136118757438114,1.0,1.0
RANBP10,0.7685436,3.4808745,0.4421642961887857,1.0,1.0
KCNC2,0.7671905,3.3879309,0.44296824038453686,1.0,1.0
NRP1,0.7658375,2.8748403,0.4437730195576125,1.0,1.0
TTN,0.7631313,2.7471762,0.44538508040121894,1.0,1.0
METTL22,0.76177824,2.933877,0.44619236084527225,1.0,1.0
GABRB2,0.75771904,2.4556653,0.44861919483013124,1.0,1.0
MT1M,0.74757105,26.72542,0.4547189486617861,1.0,1.0
FBRS,0.74757105,26.431768,0.4547189486617861,1.0,1.0
LAYN,0.74757105,26.365812,0.4547189486617861,1.0,1.0
ACTR1A,0.7279515,2.2483947,0.4666432688172367,1.0,1.0
FASTKD1,0.72659844,2.3206003,0.4674719830026616,1.0,1.0
MESD,0.72659844,2.126681,0.4674719830026616,1.0,1.0
MRPL38,0.7103616,3.260565,0.4774799261419549,1.0,1.0
SLC48A1,0.7076555,3.0675619,0.4791592395184019,1.0,1.0
